Grctri;Cousig;Grccod;Grccodtypgrpcou;Grcnbrpladis;Grcnbrplapse
20231;AER3900;01;L;7;7
20231;AER3900;04;L;7;7
20231;AER8875;03;C;16;16
20231;AER8875;05;C;15;15
20231;AER8875;05;L;15;15
20231;AER8875;02;C;21;21
20231;AER8875;03;L;16;16
20231;AER8875;02;L;21;21
20231;CAP7002;04;C;1;18
20231;CAP7002;01;C;1;27
20231;CAP7002;02;C;1;18
20231;CAP7003;01;C;1;12
20231;CAP7003E;01;C;25;26
20231;CAP7003E;02;C;25;25
20231;CAP7011;01;C;1;22
20231;CAP7011E;01;C;1;23
20231;CAP7011E;02;C;1;16
20231;CAP7015;01;C;1;22
20231;CAP7015E;02;C;1;10
20231;CF170;02;C;65;65
20231;CF230;01;C;58;58
20231;CIV1101;01;C;1;50
20231;CIV1101;01;L;1;24
20231;CIV1101;02;L;1;26
20231;CIV1120;01;L;80;80
20231;CIV1120;01;C;80;80
20231;CIV1140;02;L;1;32
20231;CIV1140;01;L;1;35
20231;CIV1140;01;C;1;67
20231;CIV1205;02;C;42;44
20231;CIV1910;02;L;1;35
20231;CIV1910;01;L;1;37
20231;CIV1910;01;C;1;72
20231;CIV2920;02;L;1;26
20231;CIV2920;01;C;1;38
20231;CIV2920;01;L;1;38
20231;CIV2920;02;C;1;26
20231;CIV3415;01;L;35;36
20231;CIV3930;01;L;1;41
20231;CIV3930;01;C;1;41
20231;CIV8185;01;L;40;40
20231;CIV8220;0D;L;1;1
20231;CIV8220;0D;C;1;1
20231;CIV8970;01;C;1;67
20231;CIV8970;01;L;1;67
20231;CP220;01;C;20;23
20231;CR345;01;C;70;70
20231;CR350;01;C;55;55
20231;CR440;02;C;70;70
20231;CR470;02;C;65;66
20231;CR470;01;C;65;68
20231;CR480;01;C;75;79
20231;CY140;01;C;60;60
20231;CY240;01;C;80;80
20231;ELE1600A;01;L;28;28
20231;ELE1600A;02;L;28;29
20231;ELE2200;02;L;40;40
20231;ELE2310;02;L;30;30
20231;ELE2705;02;L;30;30
20231;ELE3000;02;C;30;32
20231;ELE3000;01;C;30;35
20231;ELE3311;03;L;30;30
20231;ELE3311;02;L;30;30
20231;ELE3312;0D;C;1;1
20231;ELE3701A;06;L;18;18
20231;ELE3701A;05;L;18;19
20231;ELE8200;01;L;14;14
20231;GBM3210;01;L;25;25
20231;GBM6145A;01;C;20;20
20231;GBM6145A;01;L;20;20
20231;GBM8378;02;L;30;30
20231;GCH1530;06;L;16;16
20231;GCH1530;02;L;16;16
20231;GCH1530;05;L;16;16
20231;GCH1530;01;L;16;16
20231;GCH2545;01;L;36;36
20231;GCH2565;02;L;16;16
20231;GCH2565;05;L;16;16
20231;GCH2565;01;L;16;16
20231;GCH2565;04;L;16;16
20231;GCH3105;0D;L;1;1
20231;GCH3105;0D;C;1;1
20231;GCH6951K;01;C;20;21
20231;GLQ1100;01;L;20;20
20231;GLQ1115;01;L;15;15
20231;IND1901;01;C;55;62
20231;IND1901;01;L;55;62
20231;IND2601;02;C;70;74
20231;IND2601;04;L;35;40
20231;IND2601;03;L;35;39
20231;IND2902;02;C;60;62
20231;IND2902;02;L;60;62
20231;IND2902;01;C;60;61
20231;IND2902;01;L;60;61
20231;IND3202;01;C;60;60
20231;IND3303;01;L;30;30
20231;IND3303;04;L;30;30
20231;IND3304;01;L;30;31
20231;IND8108;02;C;35;35
20231;IND8119;03;C;35;36
20231;IND8119;01;C;35;39
20231;IND8120;01;C;50;54
20231;IND8138;01;C;60;60
20231;IND8178;01;L;22;22
20231;IND8178;02;L;22;23
20231;IND8202;01;C;30;31
20231;IND8203;01;C;50;50
20231;IND8375;04;L;30;31
20231;IND8375;03;L;30;31
20231;IND8974;01;L;106;106
20231;INF0101;01;L;36;38
20231;INF0102;01;C;1;25
20231;INF0102;01;L;1;25
20231;INF1015;03;L;60;60
20231;INF1500;01;L;50;51
20231;INF1600;07;L;43;43
20231;INF1600;05;L;43;44
20231;INF1600;02;L;43;44
20231;INF1900;02;L;50;50
20231;INF2205;01;C;42;42
20231;INF2705;01;L;40;40
20231;INF3405;01;L;44;44
20231;INF3405;02;L;44;45
20231;INF4420A;01;L;30;30
20231;INF6805E;0D;C;1;1
20231;INF6805E;0D;L;1;1
20231;INF8215;01;C;100;101
20231;INF8215;02;L;50;50
20231;INF8215;0D;C;1;1
20231;INF8215;01;L;50;52
20231;INF8405;01;L;40;40
20231;INF8601;0D;C;1;1
20231;INF8602;01;C;35;35
20231;INF8602;01;L;35;35
20231;INF8808;01;L;50;50
20231;ING8971;01;C;1;25
20231;ING8971;01;L;1;25
20231;LOG1410;05;L;50;50
20231;LOG1410;03;L;50;50
20231;LOG1410;01;L;50;51
20231;LOG2440;02;L;40;40
20231;LOG2810;01;L;40;41
20231;LOG2810;03;L;40;44
20231;LOG2810;01;C;120;123
20231;LOG3000;02;C;70;70
20231;LOG3000;03;L;50;51
20231;LOG3900;01;L;70;72
20231;LOG3900;01;C;70;72
20231;MEC1110;03;L;55;58
20231;MEC1110;03;C;55;58
20231;MEC1210;04;C;65;66
20231;MEC1210;04;L;65;66
20231;MEC1210;01;C;65;75
20231;MEC1210;01;L;65;75
20231;MEC1415;03;L;26;26
20231;MEC1415;02;C;65;65
20231;MEC2105;05;C;28;30
20231;MEC2105;02;L;28;29
20231;MEC2105;04;C;28;30
20231;MEC2105;03;C;28;30
20231;MEC2105;01;C;28;29
20231;MEC2105;03;L;28;30
20231;MEC2105;02;C;28;29
20231;MEC2105;05;L;28;30
20231;MEC2105;04;L;28;30
20231;MEC2105;01;L;28;29
20231;MEC2115;01;C;120;125
20231;MEC2310;01;L;45;50
20231;MEC2310;03;L;45;48
20231;MEC2310;02;C;68;70
20231;MEC2310;01;C;68;70
20231;MEC2405;05;L;28;29
20231;MEC2405;01;L;28;28
20231;MEC2405;01;C;70;70
20231;MEC2420;01;C;62;62
20231;MEC2500;04;L;45;45
20231;MEC2500;02;C;60;60
20231;MEC2500;03;L;45;45
20231;MEC2500;01;L;45;45
20231;MEC2500;02;L;45;45
20231;MEC2500;03;C;60;60
20231;MEC2500;01;C;60;60
20231;MEC3200;02;L;68;70
20231;MEC3200;02;C;68;70
20231;MEC3305;01;L;21;24
20231;MEC3305;01;C;21;50
20231;MEC3305;02;L;21;21
20231;MEC3305;0D;C;1;1
20231;MEC3430;02;L;30;31
20231;MEC3455;01;L;30;30
20231;MEC3455;02;L;30;31
20231;MEC3455;03;L;30;32
20231;MEC3455;02;C;60;60
20231;MEC3900;04;L;23;23
20231;MEC8352;02;L;16;16
20231;MEC8370;12;L;10;10
20231;MEC8370;22;C;19;19
20231;MEC8370;25;L;6;6
20231;MEC8370;27;C;6;6
20231;MEC8370;31;L;2;2
20231;MEC8370;06;C;15;15
20231;MEC8370;07;C;6;6
20231;MEC8370;07;L;6;6
20231;MEC8370;24;L;8;8
20231;MEC8370;27;L;6;6
20231;MEC8370;32;L;2;2
20231;MEC8370;33;L;3;3
20231;MEC8370;03;C;6;6
20231;MEC8370;04;C;6;6
20231;MEC8370;05;C;8;8
20231;MEC8370;05;L;8;8
20231;MEC8370;12;C;10;10
20231;MEC8370;22;L;19;19
20231;MEC8370;25;C;6;6
20231;MEC8370;04;L;6;6
20231;MEC8370;09;C;6;6
20231;MEC8370;14;L;15;15
20231;MEC8370;24;C;8;8
20231;MEC8370;31;C;2;2
20231;MEC8370;14;C;15;15
20231;MEC8370;26;L;5;5
20231;MEC8370;30;C;2;2
20231;MEC8370;03;L;6;6
20231;MEC8370;33;C;3;3
20231;MEC8370;02;C;8;8
20231;MEC8370;09;L;6;6
20231;MEC8370;26;C;5;5
20231;MEC8370;30;L;2;2
20231;MEC8370;32;C;2;2
20231;MEC8370;08;C;10;10
20231;MEC8370;02;L;8;8
20231;MEC8370;06;L;15;15
