date,day,semaine
2026-01-07,MERCREDI,B1
2026-01-08,JEUDI,B1
2026-01-09,VENDREDI,B1
2026-01-12,LUNDI,B1
2026-01-13,MARDI,B1
2026-01-14,MERCREDI,B2
2026-01-15,JEUDI,B2
2026-01-16,VENDREDI,B2
2026-01-19,LUNDI,B2
2026-01-20,MARDI,B2
2026-01-21,MERCREDI,B1
2026-01-22,JEUDI,B1
2026-01-23,VENDREDI,B1
2026-01-26,LUNDI,B1
2026-01-27,MARDI,B1
2026-01-28,MERCREDI,B2
2026-01-29,JEUDI,B2
2026-01-30,VENDREDI,B2
2026-02-02,LUNDI,B2
2026-02-03,MARDI,B2
2026-02-04,MERCREDI,B1
2026-02-05,JEUDI,B1
2026-02-06,VENDREDI,B1
2026-02-09,LUNDI,B1
2026-02-10,MARDI,B1
2026-02-11,MERCREDI,B2
2026-02-12,JEUDI,B2
2026-02-13,VENDREDI,B2
2026-02-16,LUNDI,B2
2026-02-17,MARDI,B2
2026-02-18,MERCREDI,B1
2026-02-19,JEUDI,B1
2026-02-20,VENDREDI,B1
2026-02-23,LUNDI,B1
2026-02-24,MARDI,B1
2026-02-25,MERCREDI,B2
2026-02-26,JEUDI,B2
2026-02-27,VENDREDI,B2
2026-03-09,LUNDI,B2
2026-03-10,MARDI,B2
2026-03-11,MERCREDI,B1
2026-03-12,JEUDI,B1
2026-03-13,VENDREDI,B1
2026-03-16,LUNDI,B1
2026-03-17,MARDI,B1
2026-03-18,MERCREDI,B2
2026-03-19,JEUDI,B2
2026-03-20,VENDREDI,B2
2026-03-23,LUNDI,B2
2026-03-24,MARDI,B2
2026-03-25,MERCREDI,B1
2026-03-26,JEUDI,B1
2026-03-27,VENDREDI,B1
2026-03-30,LUNDI,B1
2026-03-31,MARDI,B1
2026-04-01,MERCREDI,B2
2026-04-02,JEUDI,B2
2026-04-07,LUNDI,B2
2026-04-08,MARDI,B2
2026-04-09,JEUDI,B1
2026-04-10,VENDREDI,B2
2026-04-13,LUNDI,B1
2026-04-14,MARDI,B1
2026-04-15,MERCREDI,B1
2026-04-16,VENDREDI,B1
