Seecod;Cousig;Grccod;Counbrcdt;Locnbrpla;Pernum;Loccod;Grccodtypgrpcou;Coufrqlab;Grccodprt;Remcodtypcou;Couabgitt;Grcnbrpladis;Perjousem;Perhredeb
BA;AER1110;01;3,00;60;25;C-407.30;C;H;;TL;PROJET INITIAL GENIE AEROSPAT.;60;MAR;1245
BA;AER1110;01;3,00;60;26;C-407.30;C;H;;TL;PROJET INITIAL GENIE AEROSPAT.;60;MAR;1345
BA;AER1110;01;3,00;60;27;C-407.30;L;H;;TL;PROJET INITIAL GENIE AEROSPAT.;60;MAR;1445
BA;AER1110;01;3,00;60;28;C-407.30;L;H;;TL;PROJET INITIAL GENIE AEROSPAT.;60;MAR;1545
BA;AER1110;01;3,00;60;29;C-407.30;L;H;;TL;PROJET INITIAL GENIE AEROSPAT.;60;MAR;1645
BA;AER2100;01;3,00;186;38;A-416;C;H;;TL;METHODES EXPER. INSTRUM. AERO;20;MER;1545
BA;AER2100;01;3,00;186;39;A-416;C;H;;TL;METHODES EXPER. INSTRUM. AERO;20;MER;1645
BA;AER2100;01;3,00;186;53;A-416;C;H;;TL;METHODES EXPER. INSTRUM. AERO;20;VEN;1030
BA;AER2100;01;3,00;186;54;A-416;C;H;;TL;METHODES EXPER. INSTRUM. AERO;20;VEN;1130
BA;AER2100;01;3,00;60;23;L-6657;L;H;;TL;METHODES EXPER. INSTRUM. AERO;20;MAR;1030
BA;AER2100;01;3,00;60;24;L-6657;L;H;;TL;METHODES EXPER. INSTRUM. AERO;20;MAR;1130
BA;AER2430;01;3,00;60;15;L-3816;C;B;;TLS;VIBRAT. SYST. AERONAUTIQUES;60;LUN;1245
BA;AER2430;01;3,00;60;16;L-3816;C;B;;TLS;VIBRAT. SYST. AERONAUTIQUES;60;LUN;1345
BA;AER2430;01;3,00;60;17;L-3816;C;B;;TLS;VIBRAT. SYST. AERONAUTIQUES;60;LUN;1445
BA;AER2430;01;3,00;60;27;L-6657;L;B;I;TLS;VIBRAT. SYST. AERONAUTIQUES;30;MAR;1445
BA;AER2430;01;3,00;60;28;L-6657;L;B;I;TLS;VIBRAT. SYST. AERONAUTIQUES;30;MAR;1545
BA;AER2430;01;3,00;60;29;L-6657;L;B;I;TLS;VIBRAT. SYST. AERONAUTIQUES;30;MAR;1645
BA;AER2430;02;3,00;60;27;L-6657;L;B;P;TLS;VIBRAT. SYST. AERONAUTIQUES;30;MAR;1445
BA;AER2430;02;3,00;60;28;L-6657;L;B;P;TLS;VIBRAT. SYST. AERONAUTIQUES;30;MAR;1545
BA;AER2430;02;3,00;60;29;L-6657;L;B;P;TLS;VIBRAT. SYST. AERONAUTIQUES;30;MAR;1645
BA;AER3000;01;1,00;500;5B;INTERNET;C;A;;T;HABILETES PERSONN. ET PROFESS.;100;VEN;1845
BA;AER3000A;01;0,00;500;5A;INTERNET;C;A;;T;ATELIERS EN CEO;100;VEN;1745
BA;AER3000I;01;0,00;500;5A;INTERNET;C;A;;T;EPREUVES INITIALES DE COMM. 4H;50;VEN;1745
BA;AER3900;01;3,00;150;14;M-1010;C;H;;TLS;PROJET INDIVIDUEL GENIE AEROS.;35;LUN;1130
BA;AER3900;01;3,00;63;53;B-505;L;H;;TLS;PROJET INDIVIDUEL GENIE AEROS.;7;VEN;1030
BA;AER3900;01;3,00;63;54;B-505;L;H;;TLS;PROJET INDIVIDUEL GENIE AEROS.;7;VEN;1130
BA;AER3900;02;3,00;55;58;A-526;L;H;;TLS;PROJET INDIVIDUEL GENIE AEROS.;7;VEN;1545
BA;AER3900;02;3,00;55;59;A-526;L;H;;TLS;PROJET INDIVIDUEL GENIE AEROS.;7;VEN;1645
BA;AER3900;03;3,00;50;35;C-630;L;H;;TLS;PROJET INDIVIDUEL GENIE AEROS.;7;MER;1245
BA;AER3900;03;3,00;50;36;C-630;L;H;;TLS;PROJET INDIVIDUEL GENIE AEROS.;7;MER;1345
BA;AER3900;04;3,00;500;1B0;DISTANCE04;L;H;;TLS;PROJET INDIVIDUEL GENIE AEROS.;7;LUN;1800
BA;AER3900;04;3,00;500;1C0;DISTANCE04;L;H;;TLS;PROJET INDIVIDUEL GENIE AEROS.;7;LUN;1900
BA;AER3900;05;3,00;500;4B0;DISTANCE02;L;H;;TLS;PROJET INDIVIDUEL GENIE AEROS.;7;JEU;1800
BA;AER3900;05;3,00;500;4C0;DISTANCE02;L;H;;TLS;PROJET INDIVIDUEL GENIE AEROS.;7;JEU;1900
